TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,P_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm
2023-01-01 0000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0430,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 0930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1430,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 1930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-01 2330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0430,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 0930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 1000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 1030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-01-02 1100,-3.13,100,96.46,279.73,292.6,96.46,68.2,0
2023-01-02 1130,-3,100,102.96,280.34,293.67,102.96,74.35,0
2023-01-02 1200,-2.78,100,119.15,280.81,295.03,119.15,86.53,0
2023-01-02 1230,-2.57,100,139.26,281.6,296.89,139.26,101.07,0
2023-01-02 1300,-2.63,100,110.12,279.99,296.74,110.12,80.81,0
2023-01-02 1330,-2.56,100,121.1,281.44,297.2,121.1,86.94,0
2023-01-02 1400,-2.21,100,159.83,281.67,298.98,159.83,113.85,0
2023-01-02 1430,-1.88,99.62838781,145.4,279.72,299.02,145.4,103.33,0
2023-01-02 1500,-1.83,99.25951047,116.76,278.08,297.33,116.76,81.48,0
2023-01-02 1530,-1.84,99.4442233,66.49,273.68,295.85,66.49,44.84,0
2023-01-02 1600,-2.26,100,21.48,269.39,292.76,21.48,17.39,0
2023-01-02 1630,-2.78,100,3.34,266.93,290.16,3.34,5.93,0
2023-01-02 1700,-2.94,100,0,269.23,289.9,0,1.31,0
2023-01-02 1730,-3.01,100,0,272.88,291.19,0,0.53,0
2023-01-02 1800,-3.06,100,0,275.95,292.45,0,0.47,0
2023-01-02 1830,-3.16,100,0,275.78,291.46,0,0.43,0
2023-01-02 1900,-3.31,100,0,272.82,288.82,0,0.4,0
2023-01-02 1930,-3.62,100,0,271.03,287.05,0,0.36,0
2023-01-02 2000,-9999,-9999,0,277.66,287.73,0,0.29,0
2023-01-02 2030,-9999,-9999,0,280.99,288.44,0,0.26,0
2023-01-02 2100,-9999,-9999,0,283.35,288.67,0,0.24,0
2023-01-02 2130,-9999,-9999,0,286.6,289.92,0,0.17,0
2023-01-02 2200,-9999,-9999,0,293.3,295.48,0,0.38,0
2023-01-02 2230,-9999,-9999,0,294.99,298.37,0,0.31,0
2023-01-02 2300,-9999,-9999,0,295.32,299.08,0,0.28,0
2023-01-02 2330,-9999,-9999,0,296.85,299.98,0,0.35,0
2023-01-03 0000,-9999,-9999,0,298.73,301.17,0,0.46,0
2023-01-03 0030,-2.5,100,0,300.8,302.26,0,0.39,0
2023-01-03 0100,-9999,-9999,0,301.84,303.04,0,0.19,0
2023-01-03 0130,-9999,-9999,0,303.39,304.14,0,0.36,0
2023-01-03 0200,-6.83,100,0,304.58,304.93,0,0.27,0
2023-01-03 0230,-9999,-9999,0,304.97,305.34,0,0.23,0
2023-01-03 0300,-9999,-9999,0,305.09,305.49,0,0.22,0
2023-01-03 0330,-9999,-9999,0,305.23,305.62,0,0.23,0
2023-01-03 0400,-9999,-9999,0.01,305.67,306.09,0.01,0.35,0
2023-01-03 0430,-9999,-9999,0.03,306.08,306.59,0.03,0.4,0
2023-01-03 0500,-9999,-9999,0.03,306.67,307.12,0.03,0.35,0
2023-01-03 0530,-9999,-9999,0.06,307.61,307.99,0.06,0.36,0
2023-01-03 0600,-9999,-9999,0,308.59,309.22,0,0.43,0
2023-01-03 0630,-9999,-9999,0.44,309.95,312.39,0.44,-0.06,0
2023-01-03 0700,-9999,-9999,1.58,312.28,314.72,1.58,-0.36,0
2023-01-03 0730,-9999,-9999,2.44,314.06,315.32,2.44,-0.61,0
2023-01-03 0800,-9999,-9999,1.08,314.48,315.5,1.08,-0.25,0
2023-01-03 0830,-9999,-9999,0.25,314.37,315.67,0.25,0.2,0
2023-01-03 0900,-9999,-9999,0.29,315.98,316.07,0.29,0.36,0
2023-01-03 0930,-9999,-9999,0.54,316,316.25,0.54,1.32,0
2023-01-03 1000,-9999,-9999,1.44,315.29,316.6,1.44,3.36,0
2023-01-03 1030,-9999,-9999,5.59,319.36,319.07,5.59,8.56,0
2023-01-03 1100,-9999,-9999,19.38,322.31,319.73,19.38,14.9,0
2023-01-03 1130,-9999,-9999,28.77,4040.69,4040.15,28.77,20.77,0
2023-01-03 1200,-9999,-9999,53.81,314.11,318.77,53.81,39.63,0.6
