TIMESTAMP_1,_Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,PPFD_1_1_1,P_1_1_1,P_rain_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,umol+1m-2s-1,mm,mm
2015-10-01 0000,5.5275,84.45,4.040629,265.7115,329.161,4.040629,0.5524817,0.5847971,0,0
2015-10-01 0030,5.1875,86.32083,3.874326,264.726,328.3749,3.874326,0.7141919,0.6228873,0,0
2015-10-01 0100,5.173333,86.78166,3.977358,263.4012,328.7997,3.977358,0.6995212,0.6038421,0,0
2015-10-01 0130,4.183333,88.84,4.088519,262.0448,324.557,4.088519,0.331756,0.4940529,0,0
2015-10-01 0200,3.665,90.45667,2.953158,274.6278,324.769,2.953158,0.5648255,0.5355104,0,0
2015-10-01 0230,3.438333,91.15083,3.221476,267.7492,324.3221,3.221476,0.5988597,0.7002265,0,0
2015-10-01 0300,3.319167,91.89165,1.336972,302.6654,327.3593,1.336972,0.4738536,0.5579808,0,0
2015-10-01 0330,3.690833,92.37,0.3814259,321.8965,331.9799,0.3814259,0.4245136,0.5994542,0,0
2015-10-01 0400,4.005,92.30417,0.02989859,331.1065,335.0305,0.02989859,0.4078406,0.6375524,0,0
2015-10-01 0430,4.215,91.83583,0.1700922,333.3021,336.648,0.1700922,0.5988888,0.5758924,0,0
2015-10-01 0500,4.3,91.23416,0.7369226,330.985,337.1239,0.7369226,0.4087881,0.6117019,0,0
2015-10-01 0530,4.440833,91.0575,0.6019469,334.2357,337.8508,0.6019469,0.4041106,0.6621009,0,0
2015-10-01 0600,4.608333,90.77583,0.5523154,334.3406,338.6206,0.5523154,0.4274491,0.716994,0,0
2015-10-01 0630,4.879167,90.40666,0.4257733,336.5261,339.6206,0.4257733,0.3997749,0.6755428,0,0
2015-10-01 0700,4.966667,90.29749,1.732697,303.9132,337.2096,1.732697,0.9045782,6.805841,0,0
2015-10-01 0730,4.959167,90.49416,18.56104,307.5165,337.519,18.56104,3.11651,33.8466,0,0
2015-10-01 0800,5.303333,90.65416,37.78295,330.7619,342.2294,37.78295,5.754891,60.46724,0,0
2015-10-01 0830,6.013333,89.81166,64.15536,334.148,347.4589,64.15536,9.385541,103.274,0,0
2015-10-01 0900,6.733333,88.6875,112.8076,324.2628,352.4605,112.8076,16.98998,183.475,0,0
2015-10-01 0930,7.3925,87.0825,170.2744,317.6264,356.7759,170.2744,25.9956,276.7664,0,0
2015-10-01 1000,7.5875,86.5925,139.5437,339.9907,359.0982,139.5437,20.65555,231.3384,0,0
2015-10-01 1030,7.637499,87.0975,127.8059,346.0741,360.4309,127.8059,18.99174,212.7731,0,0
2015-10-01 1100,7.919167,86.70083,91.23682,346.9463,360.6739,91.23682,13.18603,154.93,0,0
2015-10-01 1130,8.571667,84.9,148.752,348.4644,365.5438,148.752,22.09775,251.5157,0,0
2015-10-01 1200,9.109166,82.56667,99.02164,349.0569,365.1353,99.02164,14.37229,171.7472,0,0
2015-10-01 1230,9.569166,80.36166,189.0965,347.56,370.0219,189.0965,28.47353,314.5504,0,0
2015-10-01 1300,10.08833,78.03416,166.0269,350.1042,372.0826,166.0269,24.59856,279.4895,0,0
2015-10-01 1330,10.4025,76.51249,184.589,349.7074,373.6297,184.589,27.60515,310.4584,0,0
2015-10-01 1400,10.65333,74.88416,169.3454,349.8604,374.0446,169.3454,25.18411,287.8332,0,0
2015-10-01 1430,10.7225,74.01833,124.9526,350.9921,371.7343,124.9526,18.75702,214.5184,0,0
2015-10-01 1500,11,72.74332,131.957,349.9088,372.1876,131.957,19.70464,226.843,0,0
2015-10-01 1530,10.93917,72.59083,82.77227,350.5401,369.5291,82.77227,12.30256,143.9377,0,0
2015-10-01 1600,10.73083,73.245,92.18673,349.7386,368.2841,92.18673,13.86091,160.6385,0,0
2015-10-01 1630,10.3225,75.49833,38.33824,350.5948,364.1,38.33824,5.636049,68.71117,0,0
2015-10-01 1700,10.05333,76.84166,35.32685,348.6355,362.2637,35.32685,5.233635,62.5628,0,0
2015-10-01 1730,9.861666,76.93583,21.6928,347.2612,360.4842,21.6928,3.085546,39.30268,0,0
2015-10-01 1800,9.653333,77.78333,8.829539,347.7327,358.7826,8.829539,1.330563,16.9593,0,0
2015-10-01 1830,9.494999,79.07166,2.501142,347.3663,357.6312,2.501142,0.4927148,6.051217,0,0
2015-10-01 1900,9.403333,80.07915,0.6379954,341.2435,356.4744,0.6379954,0.1988902,0.9066913,0,0
2015-10-01 1930,9.404165,80.18833,0.7230024,344.1353,356.0973,0.7230024,0.2145623,0.5518916,0,0
2015-10-01 2000,9.509167,79.99667,0.3451349,350.7879,357.0985,0.3451349,0.167261,0.5474432,0,0
2015-10-01 2030,9.644166,79.86832,0.3123712,351.4934,357.5729,0.3123712,0.1722637,0.5855232,0,0
2015-10-01 2100,9.822499,79.76749,0.4924919,352.8631,358.1076,0.4924919,0.1805963,0.5082821,0,0
2015-10-01 2130,9.902499,80.31083,0.3097625,353.6618,358.7154,0.3097625,0.1432768,0.6515803,0,0
2015-10-01 2200,9.978333,81.15417,0.3480411,354.179,359.1696,0.3480411,0.1136192,0.5519291,0,0
2015-10-01 2230,10.0125,82.57333,1.41019,355.5471,359.2759,1.41019,0.5394582,0.642628,0,0
2015-10-01 2300,9.874166,85.03416,2.02219,356.0537,359.1611,2.02219,0.6757417,0.4993289,0,0
2015-10-01 2330,10.0175,85.07833,1.108561,356.8417,359.9867,1.108561,0.2659026,0.510534,0,0
2015-10-02 0000,10.32667,84.50083,0.1505403,358.2605,361.1504,0.1505403,0.2272569,0.5698882,0,0
2015-10-02 0030,10.71917,84.21999,0.10558,359.8703,362.7101,0.10558,0.2592435,0.5676433,0,0
2015-10-02 0100,11.02667,84.01583,0.2810613,360.6595,363.8796,0.2810613,0.1746052,0.5463668,0,0
2015-10-02 0130,11.20833,83.74166,0.7114841,361.3361,364.5982,0.7114841,0.2585696,0.5777026,0,0
2015-10-02 0200,11.2325,84.41,2.130397,361.1014,364.4701,2.130397,0.6990724,0.5564322,0,0
2015-10-02 0230,11.355,83.89417,1.751563,359.722,364.8053,1.751563,0.334536,0.4567802,0,0
2015-10-02 0300,11.4,83.715,1.031391,358.3131,364.9207,1.031391,0.2838895,0.6325522,0,0
2015-10-02 0330,11.4,83.875,1.049966,355.7318,364.5832,1.049966,0.2175843,0.4858964,0,0
2015-10-02 0400,11.39,83.6825,0.7544019,352.2668,364.2699,0.7544019,0.1672684,0.4948475,0,0
2015-10-02 0430,11.4275,83.1075,0.5829719,354.8946,364.5661,0.5829719,0.1542698,0.4869989,0,0
2015-10-02 0500,11.40417,82.52249,0.5818234,355.1937,364.442,0.5818234,0.136613,0.5485851,0,0
2015-10-02 0530,11.4,82.01667,0.4707395,358.2005,364.695,0.4707395,0.08230145,0.5597829,0,0
2015-10-02 0600,11.375,82.18,0.4417232,359.3236,364.7014,0.4417232,0.01799245,0.574321,0,0
