Month,n_days,Rg_f,Rg_sqc,Ta_f,Ta_sqc,VPD_f,VPD_sqc,Ts_f,Ts_sqc,Precip,SWC,H_f,H_sqc,LE_f,LE_sqc,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSsqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSsqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNsqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNsqc,GPP_or_ANN
1,31,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
2,29,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
3,31,21.00,0.08,-5.65,0.09,-9999.00,-9999.00,-9.78,0.08,-9999.00,-9999.00,-2.10,0.09,0.56,0.09,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
4,30,20.96,0.00,-5.69,0.00,-9999.00,-9999.00,-9.78,0.00,-9999.00,-9999.00,-2.06,0.00,0.55,0.00,0.00,0.00,0.03,0.00,-0.03,0.02,0.00,-0.02,0.17,0.00,-0.17,0.23,0.00,-0.23
5,31,20.46,0.95,-3.20,0.95,-9999.00,-9999.00,-5.78,0.95,-9999.00,-9999.00,2.64,0.95,3.74,0.95,0.08,0.12,-0.10,0.95,0.18,-0.08,0.95,0.21,-0.11,0.95,0.19,-0.08,0.95,0.21
6,30,20.15,1.00,2.14,1.00,-9999.00,-9999.00,5.71,1.00,-9999.00,-9999.00,33.36,1.00,26.55,1.00,0.60,0.68,0.17,1.00,0.43,0.19,1.00,0.49,0.18,1.00,0.42,0.20,1.00,0.48
7,31,17.89,1.00,8.38,1.00,-9999.00,-9999.00,11.28,1.00,-9999.00,-9999.00,33.69,1.00,37.93,1.00,1.71,1.72,-1.27,0.99,2.98,-1.28,0.99,3.00,-1.27,1.00,2.98,-1.27,1.00,2.99
8,31,16.07,0.99,11.76,1.00,-9999.00,-9999.00,13.17,1.00,-9999.00,-9999.00,20.92,1.00,35.37,0.99,2.19,2.01,-1.60,0.99,3.79,-1.60,0.99,3.61,-1.64,0.99,3.83,-1.64,0.99,3.65
9,30,5.62,0.58,3.01,0.93,-9999.00,-9999.00,5.03,0.84,-9999.00,-9999.00,5.14,0.93,9.78,0.60,0.75,0.75,0.24,0.58,0.51,0.29,0.58,0.46,0.27,0.58,0.49,0.30,0.58,0.45
10,31,3.76,0.00,3.23,0.00,-9999.00,-9999.00,4.14,0.00,-9999.00,-9999.00,4.91,0.00,5.93,0.00,0.51,0.56,0.08,0.00,0.43,0.24,0.00,0.32,0.23,0.00,0.28,0.72,0.00,-0.16
11,30,3.81,0.21,3.23,0.07,-9999.00,-9999.00,4.13,0.19,-9999.00,-9999.00,5.01,0.07,6.04,0.07,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
12,31,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00,-9999.00
