Year	DoY	Hour	NEE	LE	H	Rg	Tair	rH	VPD	Ustar	season
-	-	-	umolm-2s-1	Wm-2	Wm-2	Wm-2	degC	%	hPa	ms-1	-
2023	1	0.5	-9999.00000	-5.07476	-7.76430	-9999.00000	1.34667	100.00000	0.00000	0.50917	1.00000
2023	1	1	3.54248	9.85929	-7.25354	-9999.00000	1.37333	100.00000	0.00000	0.41091	1.00000
2023	1	1.5	-9999.00000	-0.73531	-9999.00000	-9999.00000	1.40333	100.00000	0.00000	-9999.00000	1.00000
2023	1	2	1.13438	0.21629	-9999.00000	-9999.00000	1.45333	100.00000	0.00000	0.52866	1.00000
2023	1	2.5	0.69928	-0.57588	-37.71830	-9999.00000	1.46000	100.00000	0.00000	0.44106	1.00000
2023	1	3	1.43722	-0.54283	-9999.00000	-9999.00000	1.49000	100.00000	0.00000	0.30474	1.00000
2023	1	3.5	-9999.00000	-3.70452	-9999.00000	-9999.00000	1.56000	100.00000	0.00000	0.24982	1.00000
2023	1	4	-9999.00000	-9999.00000	-9999.00000	0.01877	1.73667	100.00000	0.00000	0.50998	1.00000
2023	1	4.5	-9999.00000	-9999.00000	-9999.00000	0.00523	1.90000	100.00000	-9999.00000	0.27465	1.00000
2023	1	5	-9999.00000	-4.63337	7.33136	-9999.00000	2.03667	100.00000	0.00000	0.45207	1.00000
2023	1	5.5	0.41214	-9999.00000	-9999.00000	-9999.00000	2.17333	100.00000	-9999.00000	0.51998	1.00000
2023	1	6	3.84168	-9999.00000	-9999.00000	0.00843	2.30333	100.00000	0.00000	0.55385	1.00000
2023	1	6.5	1.81383	0.93726	-9999.00000	0.01233	2.51000	100.00000	0.00000	0.55431	1.00000
2023	1	7	1.80647	0.31196	-9999.00000	0.06810	2.64667	100.00000	0.00000	0.43042	1.00000
2023	1	7.5	1.82373	-9999.00000	-9999.00000	0.03297	2.96333	100.00000	0.00000	0.59169	1.00000
2023	1	8	1.07842	-1.62426	-43.28670	-9999.00000	2.96333	100.00000	0.00000	0.41633	1.00000
2023	1	8.5	2.54667	-9999.00000	-9999.00000	0.07593	2.98333	100.00000	0.00000	0.43210	1.00000
2023	1	9	0.76701	-0.24360	-39.54910	0.78213	3.15667	100.00000	0.00000	0.49815	1.00000
2023	1	9.5	2.01274	-9999.00000	-9999.00000	2.89797	3.39667	100.00000	0.00000	0.45461	1.00000
2023	1	10	3.00094	-9999.00000	-9999.00000	6.69310	3.85000	100.00000	0.00000	0.50436	1.00000
2023	1	10.5	0.79728	3.16128	-9999.00000	12.44753	4.17000	100.00000	0.00000	0.49156	1.00000
2023	1	11	2.49200	-5.00517	-4.57281	11.61867	4.62333	100.00000	0.00000	0.45619	1.00000
2023	1	11.5	0.99357	-5.60312	-97.59050	20.54907	4.91000	100.00000	0.00000	0.35633	1.00000
2023	1	12	0.27991	-1.05005	-74.76530	20.75367	5.17333	100.00000	0.00000	0.51495	1.00000
2023	1	12.5	0.97739	-1.47203	-99.38080	15.18117	5.60000	100.00000	0.00000	0.42255	1.00000
2023	1	13	0.18058	-4.69605	-98.23390	20.98490	5.91000	100.00000	0.00000	0.40913	1.00000
2023	1	13.5	0.43595	-1.46952	-95.27810	19.41813	6.03000	100.00000	0.00000	0.39268	1.00000
2023	1	14	2.19389	-1.01972	-61.98160	14.06840	6.16333	100.00000	0.00000	0.56813	1.00000
2023	1	14.5	-0.68941	-1.98053	-75.09740	13.29014	6.21333	100.00000	0.00000	0.42866	1.00000
2023	1	15	2.08504	1.56438	-31.43760	6.36450	6.28333	100.00000	0.00000	0.50966	1.00000
2023	1	15.5	-9999.00000	-9999.00000	-9999.00000	4.08813	6.31000	100.00000	0.00000	-9999.00000	1.00000
2023	1	16	-9999.00000	-9999.00000	-9999.00000	1.84732	6.40000	100.00000	0.00000	-9999.00000	1.00000
2023	1	16.5	1.80925	-9999.00000	-9999.00000	0.30333	6.28000	100.00000	0.00000	0.43959	1.00000
2023	1	17	2.27304	3.25661	-9999.00000	0.01757	6.48000	100.00000	0.00000	0.48720	1.00000
2023	1	17.5	1.01630	-9999.00000	-9999.00000	0.02077	6.48000	100.00000	0.00000	0.45860	1.00000
2023	1	18	2.64222	-9999.00000	-9999.00000	0.05960	6.50333	100.00000	0.00000	0.50980	1.00000
2023	1	18.5	2.80485	-9999.00000	-9999.00000	0.10310	6.66000	100.00000	0.00000	0.78242	1.00000
2023	1	19	4.49561	-9999.00000	-9999.00000	0.03827	6.72667	100.00000	0.00000	0.75635	1.00000
2023	1	19.5	-9999.00000	-9999.00000	-9999.00000	-9999.00000	6.87667	100.00000	0.00000	0.70302	1.00000
2023	1	20	-9999.00000	3.67146	-34.60890	-9999.00000	6.10000	100.00000	0.00000	0.51880	1.00000
2023	1	20.5	-9999.00000	13.13800	-9999.00000	-9999.00000	4.52667	100.00000	0.00000	0.67046	1.00000
2023	1	21	0.42629	-9999.00000	-9999.00000	-9999.00000	3.93667	100.00000	0.00000	0.35036	1.00000
2023	1	21.5	-9999.00000	-9999.00000	-9999.00000	-9999.00000	3.60667	100.00000	0.00000	0.44631	1.00000
2023	1	22	-9999.00000	-9999.00000	-9999.00000	-9999.00000	3.28667	100.00000	0.00000	0.66480	1.00000
2023	1	22.5	1.33195	0.19312	-9999.00000	-9999.00000	2.97667	100.00000	0.00000	0.26875	1.00000
2023	1	23	0.70621	4.63023	-9999.00000	-9999.00000	2.65667	100.00000	0.00000	0.57455	1.00000
2023	1	23.5	2.02912	-9.73772	-4.99879	-9999.00000	2.16333	100.00000	0.00000	0.89934	1.00000
2023	2	0	-9999.00000	-9999.00000	-9999.00000	-9999.00000	1.20000	100.00000	0.00000	0.58480	1.00000
2023	2	0.5	1.62983	5.46967	-9999.00000	-9999.00000	0.52000	100.00000	0.00000	0.70028	1.00000
2023	2	1	-9999.00000	29.61340	-9999.00000	-9999.00000	0.59000	100.00000	0.00000	-9999.00000	1.00000
2023	2	1.5	-9999.00000	3.17015	-9999.00000	-9999.00000	0.78333	100.00000	0.00000	-9999.00000	1.00000
2023	2	2	4.09721	4.75811	-9999.00000	0.01360	0.92000	100.00000	0.00000	0.95952	1.00000
2023	2	2.5	0.72598	-2.35644	-9999.00000	-9999.00000	0.83000	100.00000	0.00000	0.84836	1.00000
2023	2	3	2.77495	2.85595	-9999.00000	-9999.00000	0.57000	100.00000	0.00000	0.81163	1.00000
2023	2	3.5	-9999.00000	-9999.00000	-9999.00000	-9999.00000	0.32000	100.00000	0.00000	-9999.00000	1.00000
2023	2	4	-9999.00000	-9999.00000	-9999.00000	-9999.00000	-0.14000	100.00000	0.00000	0.77044	1.00000
2023	2	4.5	2.04281	-1.10055	-34.62290	-9999.00000	-0.41333	100.00000	0.00000	0.66083	1.00000
2023	2	5	0.95823	0.28254	-25.27880	-9999.00000	-0.56333	100.00000	-9999.00000	0.70621	1.00000
2023	2	5.5	1.50471	-3.48014	-37.07580	-9999.00000	-0.85000	100.00000	0.00000	0.79333	1.00000
