Year DoY Hour NEE LE H Rg Tair rH VPD Ustar
- - - umolm-2s-1 Wm-2 Wm-2 Wm-2 degC % hPa ms-1
2023 1 0.5 2.847125 -20.46454 -9999.0 -9999.0 4.712276 78.405457 1.8654963987663802 0.6385351
2023 1 1.0 0.849329167 -12.73603 -9999.0 -9999.0 4.6432128 79.66864 1.7479164791399846 0.5308921
2023 1 1.5 1.8809025 7.112488 -9999.0 -9999.0 4.2560239 80.59304 1.6238216525982576 0.5635242
2023 1 2.0 2.366276667 -6.28467 -9999.0 -9999.0 4.5695901 77.797226 1.8990030136126537 0.5408093
2023 1 2.5 2.401754167 -13.14786 -9999.0 -9999.0 4.7752929 76.526276 2.036779454061664 0.5656847
2023 1 3.0 3.250979167 -12.20377 -9999.0 -9999.0 4.8356981 76.266327 2.068037632296763 0.5476175
2023 1 3.5 1.693975 -11.09919 -9999.0 -9999.0 4.887145 76.428474 2.0612958695657895 0.5447984
2023 1 4.0 3.0669175 -16.12591 -9999.0 0.0188 4.9073429 77.216988 1.9951507365497063 0.5771959
2023 1 4.5 1.7529525 -8.767141 -9999.0 0.0052 5.0299721 77.405022 1.995674327682945 0.4443741
2023 1 5.0 4.199285833 -19.19321 -9999.0 -9999.0 5.1185331 77.380173 2.010232696326903 0.6895822
2023 1 5.5 2.781453333 -21.62445 -9999.0 -9999.0 5.11304 77.991676 1.9551401452686727 0.5329284
2023 1 6.0 2.543745833 -21.34879 -9999.0 0.0084 5.2963939 77.504738 2.0240594715627402 0.6646571
2023 1 6.5 2.160685833 -21.7002 -9999.0 0.0123 5.4223652 78.387344 1.961745535111981 0.6182783
2023 1 7.0 3.24215 -60.50131 -9999.0 0.0681 9.1055965 61.719238 -9999.0 0.600005
2023 1 7.5 -9999.0 -9999.0 -9999.0 0.033 9.8040733 59.639694 4.940520653818329 0.9132487
2023 1 8.0 0.32255275 -41.44423 -9999.0 -9999.0 8.7727127 65.734886 3.9129883692718854 0.5338729
2023 1 8.5 -9999.0 -9999.0 -9999.0 0.0759 9.8470325 62.297794 4.628454253263657 0.6913197
2023 1 9.0 -9999.0 -30.65301 -9999.0 0.7821 8.4683361 68.968697 3.4714208836857594 0.6369106
2023 1 9.5 0.764615167 -14.31553 -9999.0 2.898 8.7295446 68.510483 3.585539392106134 0.3384775
2023 1 10.0 -9999.0 8.939579 -9999.0 6.6931 8.9184122 67.950279 3.6962104378296763 0.4659063
2023 1 10.5 -9999.0 -9999.0 -9999.0 12.4475 8.6490612 87.821327 1.379187917896294 -9999.0
2023 1 11.0 1.185524167 -12.65809 -9999.0 11.6187 8.3797102 71.691429 3.147859707109827 0.6019526
2023 1 11.5 1.195821667 -7.59677 -9999.0 20.5491 9.7248516 66.021034 4.137332420344499 0.3260964
2023 1 12.0 0.505634083 -13.29006 -9999.0 20.7537 8.5435896 69.866409 3.3882289123638722 0.3107963
2023 1 12.5 0.722007917 -24.60568 -9999.0 15.1812 9.9658909 63.653576 4.497692377232529 0.3416746
2023 1 13.0 -9999.0 -34.77218 -9999.0 20.9849 -9999.0 61.168739 4.994932060886065 0.5022202
2023 1 13.5 3.72561 -31.42989 -9999.0 19.4181 9.9691553 63.791733 4.481575820972898 0.5688353
