Year,Month,DoM,DoY,NEE_f,NEE_sqc,LE_f,LE_sqc,H_f,H_sqc,Rg_f,Rg_sqc,VPD_f,VPD_sqc,rH_f,rH_sqc,Tair_f,Tair_sqc,GPP_f,Reco
--,--,--,--,umol_m-2_s-1,--,Wm-2,--,Wm-2,--,Wm-2,--,hPa,--,%,--,degC,--,umol_m-2_s-1,umol_m-2_s-1
2023,1,1,1,0.442124829196217,0,0.000783836715176121,0,-11.230460262766,0,28.4476205673759,0,0.00361608097048967,0,99.658481058464,0,-8.05352612724155,0,-0.291550297544649,0.150574531651568
2023,1,2,2,0.462296504034653,0.375,0.371809308333333,0.4375,-10.7563423788194,0.5,27.7259722222222,0.541666666666667,0.00365854722817661,0.375,99.8327949563947,0.375,-4.80210609341791,0.375,-0.262881061652991,0.199415442381662
2023,1,3,3,0.320105350572954,0.1875,1.86711926249623,0.0625,-6.40914754908705,0.479166666666667,9.27401041666667,0.979166666666667,0.0128430449269706,0.208333333333333,99.2850402705182,0.208333333333333,-9.94621380047817,0.208333333333333,-0.204099261561874,0.11600608901108
2023,1,4,4,0.204184491556367,0.479166666666667,3.51311214817529,0.666666666666667,-9.41990755567605,0.854166666666667,9.82,1,0.00405641521953365,0.833333333333333,99.8214364167118,0.833333333333333,-4.63139151422987,0.833333333333333,-0.00312844434575726,0.20105604721061
2023,1,5,5,0.207892422760495,0.479166666666667,2.47880007432259,0.604166666666667,-3.9716658802209,0.6875,13.2841666666667,0.791666666666667,0.00233664142947138,0.708333333333333,99.8990667006278,0.708333333333333,-6.6372180335097,0.708333333333333,-0.053333903552987,0.154558519207508
2023,1,6,6,0.230724365219907,0,1.46618064166667,0,-1.341690765625,0,29.9072786871693,0,0.0040200934887961,0,99.4626692877446,0,-13.291204515392,0,-0.122238034672581,0.108486330547326
2023,1,7,7,0.293483721011757,0,1.784187228429,0.0208333333333333,1.70238112947917,0.354166666666667,51.5460416666667,0.520833333333333,0.0108498608519456,0.4375,98.3691567782798,0.4375,-28.1368117559524,0.4375,-0.29056440565257,0.00291931535918702
2023,1,8,8,0.260973445214449,0.416666666666667,1.84733162145796,0.354166666666667,2.88922711883308,0.8125,41.3772916666667,1,0.0156733809735205,1,98.4101166741667,1,-24.31875,1,-0.241895539087272,0.0190779061271773
2023,1,9,9,0.197590528195907,0.875,3.40925934865222,0.958333333333333,3.03242574116795,0.9375,14.6066666666667,1,0.0338335797256517,1,98.5050260477083,1,-13.5554166666667,1,-0.115574847972394,0.082015680223513
2023,1,10,10,0.199283883878869,0.770833333333333,9.28647141666667,0.9375,-3.27562169789056,0.833333333333333,9.83165277777778,0.9375,0.0835759479621367,0.9375,97.7573385797708,0.9375,-8.38143055555556,0.9375,-0.0103712415786032,0.188912642300266
2023,1,11,11,0.189572119097222,0,9.32944992361111,0,-3.08758939583333,0,9.83152777777778,0,0.083663801657313,0,97.7545553590278,0,-8.37946180555556,0,-0.0489295987914018,0.14064252030582
